SampleID,BarcodeSequence,LinkerPrimerSequence,Description,pH_Treatment ,pH,Biofilm_Age_days,Age_category,Date_Sampled,season,Wet_weight_mg,chl_a_mg,carotenoid_mg,Av_diatom_abundance,spirorbis,platyhelminthes,harpacticoida,nematodes,Cirripedia,other,total,settlement_24h-exp1,settlement_48h_exp1,settlement_24h-exp2,settlement_48h_exp2,Shann
L1,,,,7.4,7.4,30,y,23/10/15,spring,,,,,1,0,6,0,0,1,8,,,,,0.73562194
L2,,,,7.4,7.4,30,y,23/10/15,spring,,,,,0,1,6,0,0,3,10,,,,,0.897945725
L3,,,,7.4,7.4,30,y,23/10/15,spring,,,,,0,0,1,1,0,2,4,,,,,1.039720771
L4,,,,7.4,7.4,30,y,23/10/15,spring,,,,,0,0,11,0,3,3,17,,,,,0.893888536
M1,,,,7.8,7.8,30,y,23/10/15,spring,,,,,0,0,14,1,2,3,20,,,,,0.914285581
M2,,,,7.8,7.8,30,y,23/10/15,spring,,,,,0,1,8,0,12,5,26,,,,,1.161881088
M3,,,,7.8,7.8,30,y,23/10/15,spring,,,,,0,2,8,1,9,2,22,,,,,1.309990533
M4,,,,7.8,7.8,30,y,23/10/15,spring,,,,,0,0,9,0,16,1,26,,,,,0.791310355
A1,,,,Ambient,8.1,30,y,23/10/15,spring,,,,,1,0,3,1,22,5,32,,,,,0.98617464
A2,,,,Ambient,8.1,30,y,23/10/15,spring,,,,,1,0,6,1,17,2,27,,,,,1.062448791
A3,,,,Ambient,8.1,30,y,23/10/15,spring,,,,,0,0,2,0,17,0,19,,,,,0.336495758
A4,,,,Ambient,8.1,30,y,23/10/15,spring,,,,,0,0,14,0,19,1,34,,,,,0.794268077
