"","SampleID","pH_Treatment","Taxa","Relative Abundance"
"13","A1","Ambient","Spirorbis","0.03125"
"14","A2","Ambient","Spirorbis","0.037037037037037"
"15","A3","Ambient","Spirorbis","0"
"16","A4","Ambient","Spirorbis","0"
"17","L1","7.4","Spirorbis","0.125"
"18","L2","7.4","Spirorbis","0"
"19","L3","7.4","Spirorbis","0"
"20","L4","7.4","Spirorbis","0"
"21","M1","7.8","Spirorbis","0"
"22","M2","7.8","Spirorbis","0"
"23","M3","7.8","Spirorbis","0"
"24","M4","7.8","Spirorbis","0"
"25","A1","Ambient","Platyhelminthes","0"
"26","A2","Ambient","Platyhelminthes","0"
"27","A3","Ambient","Platyhelminthes","0"
"28","A4","Ambient","Platyhelminthes","0"
"29","L1","7.4","Platyhelminthes","0"
"30","L2","7.4","Platyhelminthes","0.1"
"31","L3","7.4","Platyhelminthes","0"
"32","L4","7.4","Platyhelminthes","0"
"33","M1","7.8","Platyhelminthes","0"
"34","M2","7.8","Platyhelminthes","0.0384615384615385"
"35","M3","7.8","Platyhelminthes","0.0909090909090909"
"36","M4","7.8","Platyhelminthes","0"
"37","A1","Ambient","Harpacticoida","0.09375"
"38","A2","Ambient","Harpacticoida","0.222222222222222"
"39","A3","Ambient","Harpacticoida","0.105263157894737"
"40","A4","Ambient","Harpacticoida","0.411764705882353"
"41","L1","7.4","Harpacticoida","0.75"
"42","L2","7.4","Harpacticoida","0.6"
"43","L3","7.4","Harpacticoida","0.25"
"44","L4","7.4","Harpacticoida","0.647058823529412"
"45","M1","7.8","Harpacticoida","0.7"
"46","M2","7.8","Harpacticoida","0.307692307692308"
"47","M3","7.8","Harpacticoida","0.363636363636364"
"48","M4","7.8","Harpacticoida","0.346153846153846"
"49","A1","Ambient","Nematoda","0.03125"
"50","A2","Ambient","Nematoda","0.037037037037037"
"51","A3","Ambient","Nematoda","0"
"52","A4","Ambient","Nematoda","0"
"53","L1","7.4","Nematoda","0"
"54","L2","7.4","Nematoda","0"
"55","L3","7.4","Nematoda","0.25"
"56","L4","7.4","Nematoda","0"
"57","M1","7.8","Nematoda","0.05"
"58","M2","7.8","Nematoda","0"
"59","M3","7.8","Nematoda","0.0454545454545455"
"60","M4","7.8","Nematoda","0"
"61","A1","Ambient","Cirripedia","0.6875"
"62","A2","Ambient","Cirripedia","0.62962962962963"
"63","A3","Ambient","Cirripedia","0.894736842105263"
"64","A4","Ambient","Cirripedia","0.558823529411765"
"65","L1","7.4","Cirripedia","0"
"66","L2","7.4","Cirripedia","0"
"67","L3","7.4","Cirripedia","0"
"68","L4","7.4","Cirripedia","0.176470588235294"
"69","M1","7.8","Cirripedia","0.1"
"70","M2","7.8","Cirripedia","0.461538461538462"
"71","M3","7.8","Cirripedia","0.409090909090909"
"72","M4","7.8","Cirripedia","0.615384615384615"
"73","A1","Ambient","Other","0.15625"
"74","A2","Ambient","Other","0.0740740740740741"
"75","A3","Ambient","Other","0"
"76","A4","Ambient","Other","0.0294117647058824"
"77","L1","7.4","Other","0.125"
"78","L2","7.4","Other","0.3"
"79","L3","7.4","Other","0.5"
"80","L4","7.4","Other","0.176470588235294"
"81","M1","7.8","Other","0.15"
"82","M2","7.8","Other","0.192307692307692"
"83","M3","7.8","Other","0.0909090909090909"
"84","M4","7.8","Other","0.0384615384615385"
