""	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"OTU"	"Rho_pH"	"p.value"
"1"	"D_0__Bacteria"	"D_1__Cyanobacteria"	"D_2__Chloroplast"	"D_3__uncultured bacterium"	"D_4__uncultured bacterium"	"D_5__uncultured bacterium"	"D_6__uncultured bacterium"	"JQ515548.1.1462"	-0.944911182523068	0.000400877544554114
"2"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Alphaproteobacteria"	"D_3__Caulobacterales"	"D_4__Hyphomonadaceae"	"D_5__uncultured"	"D_6__uncultured bacterium"	"GU451581.1.1213"	-0.909397723446283	0.00173527822223108
"3"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Alphaproteobacteria"	"D_3__Rhodobacterales"	"D_4__Rhodobacteraceae"	"D_5__uncultured"	"D_6__uncultured marine bacterium"	"GU234954.1.1327"	-0.874539465723779	0.00448408975470595
"4"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Oceanospirillales"	"D_4__Alcanivoracaceae"	"D_5__Alcanivorax"	"D_6__uncultured Alcanivorax sp."	"GU234890.1.1381"	-0.8491904957028	0.00763421988610892
"5"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Betaproteobacteria"	"D_3__Methylophilales"	"D_4__Methylophilaceae"	"D_5__Methylotenera"	"D_6__uncultured bacterium"	"New.CleanUp.ReferenceOTU824357"	-0.841879982397672	0.00874827622095582
"6"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Deltaproteobacteria"	"D_3__Myxococcales"	"D_4__uncultured"	"D_5__uncultured organism"	"D_6__uncultured organism"	"New.CleanUp.ReferenceOTU584260"	-0.831449347150887	0.0105087449558232
"7"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Oceanospirillales"	"D_4__Oleiphilaceae"	"D_5__Oleiphilus"	"D_6__uncultured gamma proteobacterium"	"CU466805.2.1351"	-0.827535385838464	0.0112228774324048
"8"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Alphaproteobacteria"	"D_3__Rhizobiales"	"D_4__Rhodobiaceae"	"D_5__uncultured"	"D_6__uncultured bacterium"	"FJ497547.1.1407"	-0.823841525681821	0.0119243287813759
"9"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Legionellales"	"D_4__Coxiellaceae"	"D_5__uncultured"	"D_6__uncultured organism"	"New.CleanUp.ReferenceOTU2625092"	-0.822724133595217	0.0121418358347906
"10"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Alphaproteobacteria"	"D_3__OCS116 clade"	"D_4__uncultured bacterium"	"D_5__uncultured bacterium"	"D_6__uncultured bacterium"	"KF771532.1.1451"	-0.818923024853326	0.0129004466878916
"11"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Pseudomonadales"	"D_4__Moraxellaceae"	"D_5__Perlucidibaca"	"D_6__uncultured gamma proteobacterium"	"KC899215.1.1353"	-0.818923024853326	0.0129004466878916
"12"	"D_0__Bacteria"	"D_1__Firmicutes"	"D_2__Bacilli"	"D_3__Bacillales"	"D_4__Bacillaceae"	"D_5__Bacillus"	"D_6__uncultured bacterium"	"HQ397547.1.1506"	-0.808290376865476	0.0151790048271039
"13"	"D_0__Bacteria"	"D_1__Cyanobacteria"	"D_2__Chloroplast"	"D_3__uncultured bacterium"	"D_4__uncultured bacterium"	"D_5__uncultured bacterium"	"D_6__uncultured bacterium"	"KF771587.1.1445"	-0.806324209086351	0.0156261191771947
"14"	"D_0__Bacteria"	"D_1__Cyanobacteria"	"D_2__Chloroplast"	"D_3__Cylindrotheca closterium"	"D_4__Cylindrotheca closterium"	"D_5__Cylindrotheca closterium"	"D_6__Cylindrotheca closterium"	"EU592388.1.1411"	-0.8	0.01712
"15"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Alphaproteobacteria"	"D_3__Rhizobiales"	"D_4__Phyllobacteriaceae"	"D_5__Mesorhizobium"	"D_6__uncultured bacterium"	"DQ395424.1.1477"	-0.8	0.01712
"16"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Oceanospirillales"	"D_4__OM182 clade"	"D_5__uncultured sediment bacterium"	"D_6__uncultured sediment bacterium"	"HQ191011.1.1484"	-0.8	0.01712
"17"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Flavobacteriia"	"D_3__Flavobacteriales"	"D_4__Flavobacteriaceae"	"D_5__Marixanthomonas"	"D_6__Flavobacteriaceae bacterium SSK1-1"	"New.ReferenceOTU1156"	-0.8	0.01712
"18"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Deltaproteobacteria"	"D_3__Sh765B-TzT-29"	"D_4__uncultured delta proteobacterium"	"D_5__uncultured delta proteobacterium"	"D_6__uncultured delta proteobacterium"	"New.CleanUp.ReferenceOTU67017"	-0.8	0.01712
"19"	"D_0__Bacteria"	"D_1__Lentisphaerae"	"D_2__Lentisphaeria"	"D_3__Lentisphaerales"	"D_4__Lentisphaeraceae"	"D_5__Lentisphaera"	"D_6__uncultured bacterium"	"New.CleanUp.ReferenceOTU1498236"	-0.8	0.01712
"20"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__E01-9C-26 marine group"	"D_4__uncultured gamma proteobacterium"	"D_5__uncultured gamma proteobacterium"	"D_6__uncultured gamma proteobacterium"	"New.CleanUp.ReferenceOTU1628340"	-0.8	0.01712
"21"	"D_0__Bacteria"	"D_1__Cyanobacteria"	"D_2__Chloroplast"	"D_3__uncultured bacterium"	"D_4__uncultured bacterium"	"D_5__uncultured bacterium"	"D_6__uncultured bacterium"	"New.CleanUp.ReferenceOTU2920782"	-0.8	0.01712
"22"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Oceanospirillales"	"D_4__Oleiphilaceae"	"D_5__Oleiphilus"	"D_6__uncultured gamma proteobacterium"	"GU061314.1.1455"	-0.796970891329173	0.0178660147827311
"23"	"No blast hit"	NA	NA	NA	NA	NA	NA	"New.CleanUp.ReferenceOTU1000409"	-0.794719414239026	0.0184334658619782
"24"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Alphaproteobacteria"	"D_3__Rhodobacterales"	"D_4__Rhodobacteraceae"	"D_5__uncultured"	"D_6__uncultured marine bacterium"	"JQ337902.1.1431"	-0.793725393319377	0.0186875315370045
"25"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Flavobacteriia"	"D_3__Flavobacteriales"	"D_4__Cryomorphaceae"	"D_5__Crocinitomix"	"D_6__uncultured Crocinitomix sp."	"JX526838.1.1427"	-0.792858334524106	0.0189109233587094
